113	"2022-03-29"	"Wordle"	"Edwin"	5	4
114	"2022-03-29"	"Quordle"	"Edwin"	30	25
115	"2022-03-30"	"Wordle"	"Edwin"	5	2
116	"2022-03-30"	"Quordle"	"Edwin"	35	24
117	"2022-03-31"	"Wordle"	"Rachel"	5	6
118	"2022-04-01"	"Wordle"	"Rachel"	3	4
119	"2022-04-02"	"Wordle"	"Draw"	4	4
120	"2022-04-03"	"Wordle"	"Draw"	6	6
121	"2022-04-04"	"Wordle"	"Edwin"	6	5
122	"2022-04-05"	"Wordle"	"Rachel"	4	5
123	"2022-04-06"	"Wordle"	"Edwin"	5	4
124	"2022-03-31"	"Quordle"	"Edwin"	26	23
126	"2022-04-02"	"Quordle"	"Edwin"	35	24
127	"2022-04-04"	"Quordle"	"Rachel"	21	25
128	"2022-04-05"	"Quordle"	"Edwin"	22	21
129	"2022-04-06"	"Quordle"	"Edwin"	19	18
130	"2022-04-07"	"Quordle"	"Edwin"	27	22
131	"2022-04-07"	"Wordle"	"Draw"	4	4
132	"2022-04-03"	"Quordle"	"Rachel"	26	28
133	"2022-04-08"	"Wordle"	"Rachel"	3	4
134	"2022-04-08"	"Quordle"	"Rachel"	20	35
135	"2022-04-09"	"Wordle"	"Edwin"	4	3
136	"2022-04-10"	"Wordle"	"Rachel"	2	3
125	"2022-04-01"	"Quordle"	"Edwin"	28	26
137	"2022-04-11"	"Wordle"	"Rachel"	3	4
138	"2022-04-12"	"Wordle"	"Edwin"	6	5
139	"2022-04-13"	"Wordle"	"Draw"	3	3
140	"2022-04-09"	"Quordle"	"Rachel"	27	30
141	"2022-04-10"	"Quordle"	"Edwin"	24	23
142	"2022-04-11"	"Quordle"	"Rachel"	20	24
143	"2022-04-12"	"Quordle"	"Edwin"	28	26
144	"2022-04-13"	"Quordle"	"Edwin"	35	22
145	"2022-04-14"	"Wordle"	"Draw"	5	5
146	"2022-04-14"	"Quordle"	"Edwin"	35	22
147	"2022-04-15"	"Wordle"	"Rachel"	3	9
148	"2022-04-15"	"Quordle"	"Rachel"	20	24
149	"2022-04-16"	"Quordle"	"Rachel"	25	27
150	"2022-04-16"	"Wordle"	"Rachel"	4	5
151	"2022-04-17"	"Wordle"	"Edwin"	5	4
152	"2022-04-17"	"Quordle"	"Rachel"	26	35
153	"2022-04-18"	"Wordle"	"Rachel"	3	4
154	"2022-04-18"	"Quordle"	"Draw"	22	22
155	"2022-04-19"	"Wordle"	"Rachel"	3	9
156	"2022-04-19"	"Quordle"	"Edwin"	25	19
157	"2022-04-20"	"Wordle"	"Rachel"	3	4
158	"2022-04-20"	"Quordle"	"Rachel"	25	28
159	"2022-04-21"	"Wordle"	"Edwin"	5	3
160	"2022-04-21"	"Quordle"	"Edwin"	35	25
161	"2022-04-22"	"Wordle"	"Rachel"	2	4
162	"2022-04-22"	"Quordle"	"Rachel"	27	35
163	"2022-04-23"	"Wordle"	"Edwin"	6	4
164	"2022-04-23"	"Quordle"	"Rachel"	24	25
165	"2022-04-24"	"Wordle"	"Rachel"	4	5
166	"2022-04-24"	"Quordle"	"Edwin"	30	22
167	"2022-04-25"	"Wordle"	"Edwin"	5	2
168	"2022-04-25"	"Quordle"	"Rachel"	25	27
170	"2022-04-26"	"Quordle"	"Edwin"	26	24
171	"2022-04-26"	"Wordle"	"Edwin"	4	3
172	"2022-04-27"	"Wordle"	"Rachel"	3	4
174	"2022-04-27"	"Quordle"	"Edwin"	27	21
177	"2022-04-28"	"Wordle"	"Edwin"	6	4
178	"2022-04-28"	"Quordle"	"Rachel"	26	29
184	"2022-04-29"	"Wordle"	"Rachel"	3	4
185	"2022-04-29"	"Quordle"	"Rachel"	30	35
186	"2022-04-30"	"Wordle"	"Draw"	6	6
187	"2022-04-30"	"Quordle"	"Draw"	25	25
188	"2022-05-01"	"Wordle"	"Draw"	4	4
189	"2022-05-01"	"Quordle"	"Rachel"	28	35
190	"2022-05-02"	"Wordle"	"Rachel"	3	4
191	"2022-05-02"	"Quordle"	"Rachel"	22	35
192	"2022-05-03"	"Wordle"	"Draw"	4	4
193	"2022-05-03"	"Quordle"	"Rachel"	26	35
194	"2022-05-04"	"Wordle"	"Rachel"	3	5
195	"2022-05-04"	"Quordle"	"Rachel"	23	26
196	"2022-05-05"	"Wordle"	"Rachel"	3	4
197	"2022-05-05"	"Quordle"	"Rachel"	22	26
198	"2022-05-06"	"Wordle"	"Edwin"	5	4
199	"2022-05-06"	"Quordle"	"Rachel"	24	35
200	"2022-05-07"	"Wordle"	"Draw"	4	4
201	"2022-05-07"	"Quordle"	"Draw"	26	26
